BKK,SIN
HGH,SIN
HKG,SIN
KUL,SIN
SIN,BKK
SIN,HGH
SIN,HKG
SIN,KUL
SIN,TPE
TPE,SIN
CAN,CKG
CAN,CTU
CKG,CAN
CKG,CTU
CKG,HGH
CKG,KMG
CKG,PEK
CKG,PVG
CKG,XIY
CTU,CAN
CTU,CKG
CTU,HGH
CTU,HKG
CTU,ICN
CTU,KMG
CTU,PEK
CTU,PVG
CTU,XIY
CTU,XMN
HGH,CKG
HGH,CTU
HKG,CTU
ICN,CTU
KMG,CKG
KMG,CTU
KMG,TPE
KMG,XIY
KMG,XMN
PEK,CKG
PEK,CTU
PVG,CKG
PVG,CTU
TPE,KMG
XIY,CKG
XIY,CTU
XIY,KMG
XIY,XMN
XMN,CTU
XMN,KMG
XMN,XIY
BCN,DUS
DUS,BCN
DUS,MAD
DUS,PMI
MAD,DUS
PMI,DUS
BKK,ICN
HKG,ICN
ICN,BKK
ICN,HKG
ICN,NRT
NRT,ICN
BKK,CKG
BKK,ICN
CKG,BKK
ICN,BKK
CKG,KMG
CTU,KMG
HGH,KMG
KMG,CKG
KMG,CTU
KMG,HGH
KMG,PEK
KMG,PVG
KMG,XIY
PEK,KMG
PVG,KMG
XIY,KMG
CDG,IST
IST,CDG
BKK,PVG
CKG,PVG
HKG,PVG
KMG,PVG
PVG,BKK
PVG,CKG
PVG,HKG
PVG,SIN
PVG,TPE
PVG,XMN
SIN,PVG
TPE,PVG
XMN,PVG
BRU,EWR
BRU,YYZ
EWR,BRU
YYZ,BRU
ZRH,LIS
AMS,LHR
AMS,PHL
ATL,CLT
ATL,DFW
ATL,LHR
ATL,MIA
ATL,ORD
ATL,PHL
ATL,PHX
AUH,DUS
AUH,JFK
AUH,LHR
AUH,ORD
BCN,JFK
BCN,LHR
BCN,MIA
BCN,PHL
BKK,KUL
BKK,NRT
BRU,LHR
BRU,PHL
CDG,CLT
CDG,DFW
CDG,JFK
CDG,KUL
CDG,LHR
CDG,MIA
CDG,ORD
CDG,PHL
CLT,ATL
CLT,CDG
CLT,DEN
CLT,DFW
CLT,EWR
CLT,FCO
CLT,FRA
CLT,JFK
CLT,LAX
CLT,LHR
CLT,MCO
CLT,MIA
CLT,ORD
CLT,PHL
CLT,PHX
CLT,SFO
CLT,YYZ
CPH,LHR
DEN,CLT
DEN,DFW
DEN,LAX
DEN,LHR
DEN,MIA
DEN,ORD
DEN,PHL
DEN,PHX
DFW,ATL
DFW,CDG
DFW,CLT
DFW,DEN
DFW,EWR
DFW,FRA
DFW,ICN
DFW,JFK
DFW,LAX
DFW,LHR
DFW,MAD
DFW,MCO
DFW,MIA
DFW,NRT
DFW,ORD
DFW,PHL
DFW,PHX
DFW,SFO
DFW,YYZ
DUS,AUH
DUS,JFK
DUS,LAX
DUS,LHR
DUS,MIA
DUS,ORD
DXB,LHR
EWR,CLT
EWR,DFW
EWR,HKG
EWR,LHR
EWR,MIA
EWR,ORD
EWR,PHL
EWR,PHX
FCO,CLT
FCO,JFK
FCO,LHR
FCO,ORD
FCO,PHL
FRA,CLT
FRA,DFW
FRA,KUL
FRA,LHR
FRA,PHL
HKG,EWR
HKG,JFK
HKG,LAX
HKG,NRT
HKG,ORD
HKG,SFO
ICN,DFW
ICN,NRT
IST,LHR
JFK,AUH
JFK,BCN
JFK,CDG
JFK,CLT
JFK,DFW
JFK,DUS
JFK,FCO
JFK,HKG
JFK,LAX
JFK,LHR
JFK,MAD
JFK,MAN
JFK,MCO
JFK,MIA
JFK,NRT
JFK,ORD
JFK,PHX
JFK,SFO
JFK,YYZ
JFK,ZRH
KUL,BKK
KUL,CDG
KUL,FRA
KUL,LHR
KUL,NRT
KUL,SIN
LAX,CLT
LAX,DEN
LAX,DFW
LAX,DUS
LAX,HKG
LAX,JFK
LAX,LHR
LAX,MAD
LAX,MCO
LAX,MIA
LAX,NRT
LAX,ORD
LAX,PHL
LAX,PHX
LAX,PVG
LAX,SFO
LAX,YYZ
LGW,MCO
LHR,AMS
LHR,ATL
LHR,AUH
LHR,BCN
LHR,BRU
LHR,CDG
LHR,CLT
LHR,CPH
LHR,DEN
LHR,DFW
LHR,DUS
LHR,DXB
LHR,EWR
LHR,FCO
LHR,FRA
LHR,IST
LHR,JFK
LHR,KUL
LHR,LAX
LHR,LIS
LHR,MAN
LHR,MIA
LHR,MUC
LHR,ORD
LHR,PHL
LHR,PHX
LHR,SFO
LHR,VIE
LHR,YYZ
LHR,ZRH
LIS,LHR
LIS,PHL
MAD,DFW
MAD,JFK
MAD,LAX
MAD,MIA
MAD,ORD
MAD,PHL
MAN,JFK
MAN,LHR
MAN,ORD
MAN,PHL
MCO,CLT
MCO,DFW
MCO,JFK
MCO,LAX
MCO,LGW
MCO,MIA
MCO,ORD
MCO,PHL
MCO,PHX
MCO,YYZ
MIA,ATL
MIA,BCN
MIA,CDG
MIA,CLT
MIA,DEN
MIA,DFW
MIA,DUS
MIA,EWR
MIA,JFK
MIA,LAX
MIA,LHR
MIA,MAD
MIA,MCO
MIA,ORD
MIA,PHL
MIA,PHX
MIA,SFO
MIA,YYZ
MUC,LHR
MUC,PHL
NRT,BKK
NRT,DFW
NRT,HKG
NRT,ICN
NRT,JFK
NRT,KUL
NRT,LAX
NRT,ORD
NRT,SIN
NRT,TPE
ORD,ATL
ORD,AUH
ORD,CDG
ORD,CLT
ORD,DEN
ORD,DFW
ORD,DUS
