City,Airport,Acronym,Latitude,Longitude,re_check_in
Chapleau,Chapleau Airport,YLD,47.81999969482422,-83.3467025756836,1
Meadow Lake,Meadow Lake Airport,YLJ,54.125301361083984,-108.52300262451172,1
Lloydminster,Lloydminster Airport,YLL,53.309200286865234,-110.072998046875,1
Alert,Alert Airport,YLT,82.51779937740001,-62.2806015015,1
Kelowna,Kelowna International Airport,YLW,49.9561004639,-119.377998352,0
Mayo,Mayo Airport,YMA,63.61640167236328,-135.8679962158203,1
Moose Jaw,Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ,50.330299377441406,-105.55899810791016,1
Fort Mcmurray,Fort McMurray Airport,YMM,56.653301239,-111.222000122,1
Moosonee,Moosonee Airport,YMO,51.29109954833984,-80.60780334472656,0
Maniwaki,Maniwaki Airport,YMW,46.2728004456,-75.9906005859,1
Montreal,Montreal International (Mirabel) Airport,YMX,45.679501,-74.038696,0
Natashquan,Natashquan Airport,YNA,50.18999862670898,-61.78919982910156,0
Gatineau,Ottawa / Gatineau Airport,YND,45.5217018127,-75.5635986328,1
Matagami,Matagami Airport,YNM,49.76169967651367,-77.80280303955078,1
Old Crow,Old Crow Airport,YOC,67.57060241699219,-139.83900451660156,0
Cold Lake,CFB Cold Lake,YOD,54.40499877929688,-110.27899932861328,1
High Level,High Level Airport,YOJ,58.62139892578125,-117.16500091552734,1
Ottawa,Ottawa Macdonald-Cartier International Airport,YOW,45.3224983215332,-75.66919708251953,1
Prince Albert,Prince Albert Glass Field,YPA,53.2141990662,-105.672996521,1
Peace River,Peace River Airport,YPE,56.226898,-117.446999,0
Portage-la-prairie,Southport Airport,YPG,49.903099,-98.273817,0
Pitt Meadows,Pitt Meadows Airport,\N,49.21609878540039,-122.70999908447266,1
Pickle Lake,Pickle Lake Airport,YPL,51.4463996887207,-90.21420288085938,0
Port Menier,Port Menier Airport,YPN,49.83639907836914,-64.2885971069336,0
Peterborough,Peterborough Airport,YPQ,44.22999954223633,-78.36329650878906,1
Prince Pupert,Prince Rupert Airport,YPR,54.2860984802,-130.445007324,1
