City,Airport,Acronym,Latitude,Longitude,re_check_in
Brakpan,Brakpan Airport,\N,-26.23859977722168,28.30179977416992,0
Bisho,Bisho Airport,BIY,-32.8970985413,27.2791004181,1
Bloemfontein,Bram Fischer International Airport,BFN,-29.0926990509,26.302400589,1
Bethlehem,Bethlehem Airport,\N,-28.2483997345,28.3360996246,0
Bothaville,Hendrik Potgieter Airport,\N,-27.36680030822754,26.629199981689453,1
Cape Town,Cape Town International Airport,CPT,-33.9648017883,18.6016998291,1
Calvinia,Calvinia Airport,\N,-31.50029945373535,19.72590065002441,0
Durban,King Shaka International Airport,DUR,-29.6144444444,31.1197222222,0
East London,Ben Schoeman Airport,ELS,-33.0355987549,27.8258991241,0
Ermelo,Ermelo Airport,\N,-26.4955997467041,29.979799270629883,1
Ficksburg,Ficksburg Sentraoes Airport,FCB,-28.82309913635254,27.908899307250977,1
Johannesburg,Grand Central Airport,GCJ,-25.986299514799995,28.1401004791,1
George,George Airport,GRJ,-34.0056,22.378902,1
Graaff Reinet,Graaff Reinet Airport,\N,-32.193599700927734,24.541400909423828,1
Grahamstown,Grahamstown Airport,\N,-33.284698486328125,26.49810028076172,0
Greytown,Greytown Airport,\N,-29.1219997406,30.5867004395,1
Harmony,Harmony Airport,\N,-28.07869911193848,26.8612003326416,1
Harrismith,Harrismith Airport,HRS,-28.23509979248047,29.106199264526367,0
Hoedspruit,Hoedspruit Air Force Base Airport,HDS,-24.3686008453,31.0487003326,1
Hendrik Verwoerddam,Gariep Dam Airport,\N,-30.56220054626465,25.52829933166504,1
Johannesburg,OR Tambo International Airport,JNB,-26.1392,28.246,0
Klerksdorp,P C Pelser Airport,KXE,-26.8710994720459,26.718000411987305,1
Kimberley,Kimberley Airport,KIM,-28.802799224900003,24.7651996613,1
Krugersdorp,Krugersdorp Airport,\N,-26.0808259199,27.7259149551,1
Kroonstad,Kroonstad Airport,\N,-27.660600662231445,27.31579971313477,1
Kuruman,Johan Pienaar Airport,KMH,-27.45669937133789,23.411399841308597,1
Kleinsee,Kleinsee Airport,KLZ,-29.6884002686,17.093999862700002,1
Johannesburg,Lanseria Airport,HLA,-25.9384994507,27.9260997772,1
Lichtenburg,Lichtenburg Airport,\N,-26.17569923400879,26.184600830078125,1
Lambertsbaai,Makhado Air Force Base Airport,\N,-23.159900665283203,29.69650077819824,0
Langebaanweg,Langebaanweg Airport,SDB,-32.9688987732,18.1602993011,0
Ladysmith,Ladysmith Airport,LAY,-28.5816993713,29.7497005463,1
Middelburg,Middelburg Airport,\N,-25.684799194335938,29.440200805664062,0
Margate,Margate Airport,MGH,-30.8574008942,30.343000412,1
Marble Hall,Marble Hall Airport,\N,-24.98909950256348,29.283100128173828,1
Majuba Power Station,Majuba Power Station Airport,\N,-27.0792999268,29.7784996033,0
Malalane,Riverside Airport,LLE,-25.4300003052,31.5767002106,0
Musina,Morningside Farm Airport,\N,-25.7045001984,26.9090003967,1
Mkuze,Mkuze Airport,MZQ,-27.626100540161133,32.0443000793457,0
Newcastle,Newcastle Airport,NCS,-27.7705993652,29.9769001007,1
Nylstroom,Nylstroom Airfield,\N,-24.68610000610352,28.43490028381348,0
Overberg,Overberg Airport,OVG,-34.554901123,20.250699996900003,0
Oudtshoorn,Oudtshoorn Airport,OUH,-33.6069984436,22.188999176,1
Port Elizabeth,Port Elizabeth Airport,PLZ,-33.9849014282,25.6173000336,0
Plettenberg Bay,Plettenberg Bay Airport,PBZ,-34.0881601675,23.3287234306,0
Phalaborwa,Hendrik Van Eck Airport,PHW,-23.9372005463,31.1553993225,1
Polokwane,Pietersburg Municipal Airport,\N,-23.9260997772,29.4843997955,0
Port Saint Johns,Port St Johns Airport,JOH,-31.605899810791016,29.519800186157227,0
Pietermaritzburg,Pietermaritzburg Airport,PZB,-29.6490001678,30.3987007141,1
Pilanesberg,Pilanesberg International Airport,NTY,-25.3337993622,27.173400878900004,0
Potgietersrus,Polokwane International Airport,PTG,-23.845269,29.458615,0
Potchefstroom,Potchefstroom Airport,PCF,-26.670999527,27.0818996429,1
Parys,Parys Airport,\N,-26.889299392700195,27.503400802612305,1
Queenstown,Queenstown Airport,UTW,-31.92020034790039,26.882200241088867,1
Richard's Bay,Richards Bay Airport,RCB,-28.740999221800003,32.0920982361,1
Rustenburg,Rustenburg Airport,\N,-25.6443004608,27.2710990906,1
Robertson,Robertson Airport,ROD,-33.812198638916016,19.90279960632324,1
Springbok,Springbok Airport,SBU,-29.68930053710937,17.939599990844727,0
Secunda,Secunda Airport,ZEC,-26.52409935,29.1700992584,0
Saldanha,Saldanha /Vredenburg Airport,\N,-32.964099884,17.9692993164,0
Springs,Springs Airfield,\N,-26.2494004736,28.3982715607,0
Swartkop,Swartkop Air Force Base,\N,-25.8097000122,28.1646003723,1
Sishen,Sishen Airport,SIS,-27.6485996246,22.9993000031,1
Swellendam,Hendrik Swellengrebel Airport,\N,-34.04819869995117,20.47459983825684,1
Skukuza,Skukuza Airport,SZK,-24.960899353,31.5886993408,0
Tommy's Field,Tommys Field Airport,\N,-28.26000022888184,22.993200302124023,1
Bloemfontein,New Tempe Airport,\N,-29.032899856567383,26.15760040283203,0
Tutuka,Tutuka Power Station Airport,\N,-26.776599884,29.3388004303,0
Tzaneen,Tzaneen Airport,LTA,-23.8243999481,30.3292999268,1
Ulundi,Prince Mangosuthu Buthelezi Airport,ULD,-28.3206005096,31.4165000916,0
Upington,Pierre Van Ryneveld Airport,UTN,-28.39909935,21.2602005005,1
Umtata,K. D. Matanzima Airport,UTT,-31.5463631849,28.6733551025,0
Vryburg,Vryburg Airport,VRU,-26.9824008942,24.7287998199,1
Durban,Virginia Airport,VIR,-29.77059936523437,31.058399200439453,0
Vredendal,Vredendal Airport,VRE,-31.641000747680664,18.5447998046875,1
Vereeniging,Vereeniging Airport,\N,-26.566400528,27.9608001709,1
Pretoria,Wonderboom Airport,PRY,-25.6539,28.224199,1
Witbank,Witbank Airport,\N,-25.8323001862,29.1919994354,1
Waterkloof,Waterkloof Air Force Base,WKF,-25.8299999237,28.2224998474,1
Welkom,Welkom Airport,\N,-27.9968245111,26.6633338928,0
Ysterplaat,Ysterplaat Air Force Base,\N,-33.90019989013672,18.498300552368164,1
Zeerust,Zeerust Airport,\N,-25.599000930786133,26.042299270629883,1
Francistown,Francistown Airport,FRW,-21.15959930419922,27.47450065612793,1
Jwaneng,Jwaneng Airport,JWA,-24.6023006439209,24.69099998474121,0
Kasane,Kasane Airport,BBK,-17.83289909362793,25.162399291992188,1
Maun,Maun Airport,MUB,-19.97260093688965,23.431100845336918,1
Gaberone,Sir Seretse Khama International Airport,GBE,-24.555201,25.9182,1
Selebi-phikwe,Selebi Phikwe Airport,PKW,-22.0583,27.8288,0
Brazzaville,Maya-Maya Airport,BZV,-4.251699924468994,15.253000259399414,0
Owando,Owando Airport,FTX,-0.5313500165939331,15.95009994506836,1
Ouesso,Ouesso Airport,OUE,1.6159900426899998,16.0379009247,0
Pointe-noire,Pointe Noire Airport,PNR,-4.816030025482178,11.88659954071045,1
Manzini,Matsapha Airport,MTS,-26.52899932861328,31.3075008392334,1
Bangui,Bangui M'Poko International Airport,BGF,4.39847993850708,18.518800735473636,1
Berberati,Berbérati Airport,BBT,4.221580028533936,15.786399841308594,1
Bata,Bata Airport,BSG,1.9054700136184688,9.80568027496338,0
Malabo,Malabo Airport,SSG,3.755270004272461,8.708720207214355,0
Wide Awake,RAF Ascension Island,ASI,-7.9696,-14.3937,0
Plaisance,Sir Seewoosagur Ramgoolam International Airport,MRU,-20.430201,57.683601,0
Rodriguez Island,Sir Charles Gaetan Duval Airport,RRG,-19.7577,63.361,1
Diego Garcia Island,Diego Garcia Naval Support Facility,NKW,-7.31327,72.411102,1
Tiko,Tiko Airport,TKC,4.08919000626,9.3605298996,0
Douala,Douala International Airport,DLA,4.0060801506,9.71947956085,0
Maroua,Salak Airport,MVR,10.45139980316162,14.257399559020996,0
Foumban,Foumban Nkounja Airport,FOM,5.636919975280762,10.750800132751465,0
N'gaoundere,N'Gaoundéré Airport,NGE,7.357009887695312,13.559200286865234,1
Garoua,Garoua International Airport,GOU,9.33588981628418,13.370100021362305,0
Bafoussam,Bafoussam Airport,BFX,5.536920070650001,10.3545999527,1
Bamenda,Bamenda Airport,BPC,6.039239883422852,10.122599601745604,0
Yaounde,Yaoundé Airport,YAO,3.8360400199890137,11.523500442504885,0
Kasompe,Kasompe Airport,CGJ,-12.572799682617,27.893899917603,1
Livingstone,Livingstone Airport,LVI,-17.821800231933594,25.82270050048828,1
Lusaka,Kenneth Kaunda International Airport Lusaka,LUN,-15.3308000565,28.4526004791,0
Mfuwe,Mfuwe Airport,MFU,-13.258899688720703,31.936599731445312,1
Mongu,Mongu Airport,MNR,-15.25450038909912,23.16230010986328,1
Ndola,Simon Mwansa Kapwepwe International Airport,NLA,-12.998100280762,28.66489982605,1
Southdowns,Southdowns Airport,KIW,-12.900500297546388,28.149900436401367,1
Moroni,Prince Said Ibrahim International Airport,HAH,-11.5337,43.2719,0
Moheli,Mohéli Bandar Es Eslam Airport,NWA,-12.298100471496582,43.76639938354492,0
Anjouan,Ouani Airport,AJN,-12.131699562072754,44.430301666259766,1
Dzaoudzi,Dzaoudzi Pamandzi International Airport,DZA,-12.804699897766112,45.28110122680664,1
St.-denis,Roland Garros Airport,RUN,-20.88710021972656,55.51029968261719,1
St.-pierre,Pierrefonds Airport,ZSE,-21.320899963378903,55.42499923706055,0
Antananarivo,Ivato Airport,TNR,-18.7969,47.478802,1
Miandrivazo,Miandrivazo Airport,ZVA,-19.56279945373535,45.450801849365234,0
Sainte Marie,Sainte Marie Airport,SMS,-17.093900680541992,49.815799713134766,1
Toamasina,Toamasina Airport,TMM,-18.10950088500977,49.39250183105469,0
Morondava,Morondava Airport,MOQ,-20.28470039367676,44.31760025024414,0
Antsiranana,Arrachart Airport,DIE,-12.34939956665039,49.29169845581055,0
Mananara,Mananara Nord Airport,WMR,-16.16390037536621,49.77379989624024,0
Andapa,Andapa Airport,ZWA,-14.651700019836426,49.620601654052734,0
Ambilobe,Ambilobe Airport,AMB,-13.188400268554688,48.98799896240234,1
Antalaha,Antsirabato Airport,ANM,-14.99940013885498,50.3202018737793,1
Analalava,Analalava Airport,HVA,-14.62969970703125,47.76380157470703,1
Mahajanga,Amborovy Airport,MJN,-15.6668417421,46.3512325287,0
Nosy-be,Fascene Airport,NOS,-13.3121004105,48.3148002625,1
Besalampy,Besalampy Airport,BPY,-16.744530296500002,44.4824838638,0
Maroantsetra,Maroantsetra Airport,WMN,-15.436699867248535,49.68830108642578,0
Sambava,Sambava Airport,SVB,-14.278599739074709,50.17470169067383,1
Vohemar,Vohimarina Airport,VOH,-13.375800132751465,50.00279998779297,1
Antsohihy,Ambalabe Airport,WAI,-14.898799896240234,47.993900299072266,1
Ampampamena,Ampampamena Airport,IVA,-13.484816,48.632702,0
Tolagnaro,Tôlanaro Airport,FTU,-25.03809928894043,46.95610046386719,1
Fianarantsoa,Fianarantsoa Airport,WFI,-21.441600799560547,47.111698150634766,1
Farafangana,Farafangana Airport,RVA,-22.805299758911133,47.82059860229492,1
Manakara,Manakara Airport,WVK,-22.11969947814941,48.02170181274414,1
Mananjary,Mananjary Airport,MNJ,-21.201799392700195,48.35829925537109,0
Morombe,Morombe Airport,MXM,-21.7539005279541,43.3754997253418,1
Toliara,Toliara Airport,TLE,-23.383399963378903,43.72850036621094,1
M'banza-congo,Mbanza Congo Airport,SSY,-6.269899845123291,14.246999740600586,0
Benguela,Benguela Airport,BUG,-12.609000206,13.4036998749,0
Cabinda,Cabinda Airport,CAB,-5.59699010848999,12.188400268554688,1
Huambo,Nova Lisboa Airport,NOV,-12.808899879455566,15.760499954223633,0
Kuito,Kuito Airport,SVP,-12.404600143433,16.947399139404,0
Lobito,Lobito Airport,\N,-12.37119960784912,13.53660011291504,0
Luanda,Quatro de Fevereiro Airport,LAD,-8.85837,13.2312,1
Malanje,Malanje Airport,MEG,-9.525090217590332,16.312400817871094,1
Menongue,Menongue Airport,SPP,-14.657600402832031,17.71980094909668,0
Negage,Negage Airport,GXG,-7.754509925842285,15.287699699401855,0
Porto Amboim,Porto Amboim Airport,PBN,-10.722000122070312,13.76550006866455,0
Saurimo,Saurimo Airport,VHC,-9.689069747924805,20.431900024414062,1
Soyo,Soyo Airport,SZA,-6.141089916229248,12.371800422668455,1
Lubango,Lubango Airport,SDD,-14.924699783325195,13.574999809265137,1
Luena,Luena Airport,LUO,-11.768099784851074,19.8976993560791,1
Uige,Uige Airport,UGO,-7.60306978225708,15.027799606323242,1
Xangongo,Xangongo Airport,XGN,-16.755399703979492,14.965299606323242,1
Oyem,Oyem Airport,OYE,1.5431100130081177,11.58139991760254,1
Okondja,Okondja Airport,OKN,-0.6652140021324158,13.673100471496582,0
Lambarene,Lambarene Airport,LBQ,-0.7043889760971069,10.245699882507324,1
Bitam,Bitam Airport,BMM,2.0756399631500244,11.493200302124023,1
Port Gentil,Port Gentil Airport,POG,-0.7117390036582947,8.754380226135254,0
Omboue Hospial,Omboue Hopital Airport,OMB,-1.5747300386428833,9.262689590454102,1
Makokou,Makokou Airport,MKU,0.5792109966278076,12.890899658203123,0
Libreville,Libreville Leon M'ba International Airport,LBV,0.458600014448,9.4122800827,1
Franceville,M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB,-1.6561599969863892,13.437999725341797,1
Principe,Principe Airport,PCP,1.6629400253295898,7.411739826202393,0
Sao Tome,São Tomé International Airport,TMS,0.3781749904155731,6.712150096893311,0
Beira,Beira Airport,BEW,-19.79640007019043,34.90760040283203,0
Inhambane,Inhambane Airport,INH,-23.876399993896484,35.40850067138672,0
Lichinga,Lichinga Airport,VXC,-13.274,35.2663,0
Lumbo,Lumbo Airport,LFB,-15.0331001282,40.6716995239,1
Maputo,Maputo Airport,MPM,-25.920799,32.572601,1
Mueda,Mueda Airport,MUD,-11.672900199890137,39.5630989074707,1
Mocimboa Da Praia,Mocímboa da Praia Airport,MZB,-11.36180019378662,40.35490036010742,0
Marrupa,Marrupa Airport,\N,-13.225099563598633,37.55210113525391,1
Nacala,Nacala Airport,MNC,-14.488200187683104,40.71220016479492,1
Nampula,Nampula Airport,APL,-15.105600357055664,39.28179931640625,0
Pemba,Pemba Airport,POL,-12.991762161254885,40.52401351928711,0
Quelimane,Quelimane Airport,UEL,-17.855499267578125,36.86909866333008,0
Songo,Songo Airport,\N,-15.602700233459473,32.77320098876953,0
Tete,Chingozi Airport,TET,-16.104799270629883,33.64020156860352,1
Ulongwe,Ulongwe Airport,\N,-14.70460033416748,34.35240173339844,0
Vilankulu,Vilankulo Airport,VNX,-22.018400192260746,35.31330108642578,0
Alphonse,Alphonse Airport,\N,-7.00478,52.7262,1
Desroches,Desroches Airport,DES,-5.6967,53.6558,0
Farquhar,Farquhar Airport,\N,-10.1096,51.176102,1
Mahe,Seychelles International Airport,SEZ,-4.67434,55.521801,0
Praslin,Praslin Airport,PRI,-4.3192901611328125,55.69139862060547,1
Coetivy,Coetivy Airport,\N,-7.13457,56.278198,0
Abeche,Abeche Airport,AEH,13.847000122070312,20.84429931640625,1
Moundou,Moundou Airport,MQQ,8.624409675598145,16.071399688720703,1
N'djamena,N'Djamena International Airport,NDJ,12.1337,15.034,1
Faya-largeau,Faya Largeau Airport,FYT,17.91710090637207,19.111099243164062,0
Bulawayo,Joshua Mqabuko Nkomo International Airport,BUQ,-20.017401,28.617901,1
Harare,Charles Prince Airport,\N,-17.75160026550293,30.924699783325195,0
Chiredzi,Buffalo Range Airport,BFO,-21.008101,31.5786,0
Victoria Falls,Victoria Falls International Airport,VFA,-18.09589958190918,25.839000701904297,0
Harare,Robert Gabriel Mugabe International Airport,HRE,-17.931801,31.0928,0
Kariba,Kariba International Airport,KAB,-16.519800186157227,28.88500022888184,0
Mutoko,Mutoko Airport,\N,-17.431900024414062,32.18450164794922,0
Mutare,Mutare Airport,UTA,-18.997499465942,32.627201080322,1
Masvingo,Masvingo International Airport,MVZ,-20.055299758911133,30.859100341796875,0
Zvishavane,Zvishavane Airport,\N,-20.289499282836918,30.08819961547852,0
Gwert,Thornhill Air Base,GWE,-19.436399459838867,29.861900329589844,1
Hwange National Park,Hwange National Park Airport,HWN,-18.62989997863769,27.020999908447266,1
Blantyre,Chileka International Airport,BLZ,-15.679100036621094,34.9739990234375,1
Karonga,Karonga Airport,KGJ,-9.953570365905762,33.893001556396484,0
Kasungu,Kasungu Airport,KBQ,-13.014599800109863,33.46860122680664,1
Lilongwe,Lilongwe International Airport,LLW,-13.7894001007,33.78099823,0
Mzuzu,Mzuzu Airport,ZZU,-11.444700241088867,34.01179885864258,1
Maseru,Moshoeshoe I International Airport,MSU,-29.462299346923828,27.552499771118164,1
Maseru,Mejametalana Airbase,\N,-29.304100036621094,27.50349998474121,0
Kinshasa,Ndjili International Airport,FIH,-4.38575,15.4446,1
Kinshasa,Ndolo Airport,NLO,-4.32666015625,15.327500343323,1
Muanda,Muanda Airport,MNB,-5.9308600425720215,12.351799964904783,1
Kitona Base,Kitona Base Airport,\N,-5.918059825897217,12.447699546813965,0
Bandoundu,Bandundu Airport,FDU,-3.3113200664520264,17.38170051574707,1
Kikwit,Kikwit Airport,KKW,-5.035769939422607,18.785600662231445,0
Mbandaka,Mbandaka Airport,MDK,0.0226000007242,18.2887001038,1
Gbadolite,Gbadolite Airport,BDT,4.253210067749023,20.97529983520508,1
Gemena,Gemena Airport,GMA,3.23536992073,19.7712993622,1
Kotakoli,Kotakoli Airport,KLI,4.157639980316162,21.65089988708496,1
Lisala,Lisala Airport,LIQ,2.17066,21.496901,1
Kisangani,Bangoka International Airport,FKI,0.481638997793,25.3379993439,1
Isiro,Matari Airport,IRP,2.8276100158691406,27.58830070495605,0
Bunia,Bunia Airport,BUX,1.5657199621200562,30.220800399780277,1
Buta Zega,Buta Zega Airport,BZU,2.818350076675415,24.793699264526367,1
Bukavu/kavumu,Bukavu Kavumu Airport,BKY,-2.3089799880981445,28.808799743652344,0
Goma,Goma International Airport,GOM,-1.670809984207153,29.238500595092773,0
Kindu,Kindu Airport,KND,-2.91917991638,25.9153995514,0
Lubumashi,Lubumbashi International Airport,FBM,-11.5913000107,27.5308990479,0
Kolwezi,Kolwezi Airport,KWZ,-10.765899658203123,25.505699157714844,0
Kalemie,Kalemie Airport,FMI,-5.8755598068237305,29.25,0
Kamina Base,Kamina Base Airport,KMN,-8.642020225524902,25.252899169921875,1
Kananga,Kananga Airport,KGA,-5.90005016327,22.4692001343,0
Mbuji-mayi,Mbuji Mayi Airport,MJM,-6.121240139010001,23.5690002441,1
Bamako,Modibo Keita International Airport,BKO,12.5335,-7.94994,0
Gao,Gao Airport,GAQ,16.24839973449707,-0.0054560001008212,1
Kayes,Kayes Dag Dag Airport,KYS,14.481200218200684,-11.404399871826172,1
Mopti,Mopti Airport,MZI,14.5128002167,-4.07955980301,1
Tombouctou,Timbuktu Airport,TOM,16.730499267578125,-3.007580041885376,1
Tessalit,Tessalit Airport,\N,20.243000030517575,0.9773079752922058,1
Banjul,Banjul International Airport,BJL,13.338000297546388,-16.65220069885254,0
Fuerteventura,Fuerteventura Airport,FUE,28.452699661254883,-13.863800048828123,1
Hierro,Hierro Airport,VDE,27.81480026245117,-17.887100219726562,0
Santa Cruz De La Palma,La Palma Airport,SPC,28.626499,-17.7556,1
Gran Canaria,Gran Canaria Airport,LPA,27.931900024414062,-15.38659954071045,0
Arrecife,Lanzarote Airport,ACE,28.945499,-13.6052,1
Tenerife,Tenerife South Airport,TFS,28.044500351,-16.5725002289,1
Tenerife,Tenerife Norte Airport,TFN,28.4827003479,-16.3414993286,1
Melilla,Melilla Airport,MLN,35.279800415,-2.9562599659,0
Freetown,Lungi International Airport,FNA,8.61644,-13.1955,1
Cufar,Cufar Airport,\N,11.2878999710083,-15.180500030517578,0
Monrovia,Spriggs Payne Airport,MLW,6.289060115814209,-10.758700370788574,1
Monrovia,Roberts International Airport,ROB,6.23379,-10.3623,0
Agadir,Al Massira Airport,AGA,30.325000762939453,-9.41306972503662,1
Tan Tan,Tan Tan Airport,TTA,28.44820022583008,-11.161299705505373,1
Fes,Saïss Airport,FEZ,33.9272994995,-4.977960109709999,0
Ifrane,Ifrane Airport,\N,33.50529861450195,-5.152900218963623,0
Er-rachidia,Moulay Ali Cherif Airport,ERH,31.9475002289,-4.39833021164,0
Meknes,Bassatine Airport,MEK,33.87910079956055,-5.515120029449463,0
Oujda,Angads Airport,OUD,34.787200927734375,-1.92399001121521,0
Ben Slimane,Ben Slimane Airport,GMD,33.655399,-7.22145,0
Rabat,Rabat-Salé Airport,RBA,34.051498,-6.75152,1
Casablanca,Mohammed V International Airport,CMN,33.36750030517578,-7.589970111846924,0
Marrakech,Menara Airport,RAK,31.6068992615,-8.03629970551,0
Kentira,Kenitra Airport,NNA,34.29890060424805,-6.595880031585693,1
Ouarzazate,Ouarzazate Airport,OZZ,30.9391002655,-6.909430027010001,1
Al Hociema,Cherif Al Idrissi Airport,AHU,35.177101135253906,-3.83951997756958,1
Tetouan,Saniat R'mel Airport,TTU,35.594299316406,-5.320020198822,0
Tanger,Ibn Batouta Airport,TNG,35.726898193400004,-5.91689014435,0
Ziguinchor,Ziguinchor Airport,ZIG,12.5556,-16.281799,1
Cap Skiring,Cap Skirring Airport,CSK,12.39533,-16.748,1
Kaolack,Kaolack Airport,KLC,14.146900177001951,-16.051300048828125,1
Dakar,Léopold Sédar Senghor International Airport,DKR,14.739700317382812,-17.49020004272461,1
St. Louis,Saint Louis Airport,XLS,16.050800323486328,-16.463199615478516,0
Bakel,Bakel Airport,BXE,14.847299575805664,-12.468299865722656,1
Kedougou,Kédougou Airport,KGG,12.57229995727539,-12.22029972076416,1
Tambacounda,Tambacounda Airport,TUD,13.73680019378662,-13.65310001373291,0
Aioun El Atrouss,Aioun el Atrouss Airport,AEO,16.711299896240234,-9.637880325317385,0
Tidjikja,Tidjikja Airport,TIY,18.57010078430176,-11.423500061035156,1
Kiffa,Kiffa Airport,KFA,16.59000015258789,-11.406200408935549,0
Nema,Néma Airport,EMN,16.621999740600586,-7.3165998458862305,1
Kaedi,Kaédi Airport,KED,16.159500122070312,-13.50759983062744,1
Nouakschott,Nouakchott–Oumtounsy International Airport,NKC,18.31,-15.9697222,1
Selibabi,Sélibaby Airport,SEY,15.179699897766112,-12.207300186157228,0
Atar,Atar International Airport,ATR,20.506799697875977,-13.04319953918457,0
Nouadhibou,Nouadhibou International Airport,NDB,20.9330997467041,-17.030000686645508,0
Bir Moghrein,Bir Moghrein Airport,\N,25.2367000579834,-11.588700294494627,1
Fira,Fria Airport,FIG,10.350600242615,-13.569199562073,1
Faranah,Faranah Airport,FAA,10.0354995728,-10.7698001862,0
Labe,Tata Airport,LEK,11.326100349426,-12.286800384521,1
Amilcar Cabral,Amílcar Cabral International Airport,SID,16.7414,-22.9494,0
Boa Vista,Rabil Airport,BVC,16.136499404907227,-22.888900756835938,1
Maio,Maio Airport,MMO,15.15590000152588,-23.213699340820312,0
Sao Nocolau Island,Preguiça Airport,SNE,16.58839988708496,-24.28470039367676,1
Sao Vicente Island,São Pedro Airport,VXE,16.833200454711914,-25.055299758911133,1
Addis Ababa,Addis Ababa Bole International Airport,ADD,8.97789001465,38.7993011475,1
Addis Ababa,Lideta Army Airport,\N,9.003685,38.725498,0
Arba Minch,Arba Minch Airport,AMH,6.0393900871276855,37.59049987792969,1
Axum,Axum Airport,AXU,14.14680004119873,38.77280044555664,0
Bahar Dar,Bahir Dar Airport,BJR,11.608099937438965,37.32160186767578,0
Dire Dawa,Aba Tenna Dejazmach Yilma International Airport,DIR,9.624699592590332,41.85419845581055,0
Gambella,Gambella Airport,GMB,8.12876033782959,34.5630989074707,0
Gondar,Gonder Airport,GDQ,12.51990032196045,37.43399810791016,0
Jimma,Jimma Airport,JIM,7.66609001159668,36.81660079956055,0
Lalibella,Lalibella Airport,LLI,11.975000381469728,38.97999954223633,0
Makale,Mekele Airport,MQX,13.467399597167969,39.53350067138672,1
Asosa,Asosa Airport,ASO,10.018500328063965,34.586299896240234,0
Bujumbura,Bujumbura International Airport,BJM,-3.3240199089050293,29.318500518798828,0
Hargeisa,Egal International Airport,HGA,9.518170356750488,44.08879852294922,0
Berbera,Berbera Airport,BBO,10.389200210571287,44.94110107421875,1
Kismayu,Kisimayu Airport,KMU,-0.3773530125617981,42.45920181274414,0
Alexandria,El Nouzha Airport,ALY,31.183900833129883,29.94890022277832,1
Abu Simbel,Abu Simbel Airport,ABS,22.3759994507,31.611700058,0
Cairo,Cairo International Airport,CAI,30.12190055847168,31.40559959411621,0
Cairo,Cairo West Airport,CWE,30.116399765,30.9153995514,0
Hurghada,Hurghada International Airport,HRG,27.178300857543945,33.799400329589844,0
El Gorah,El Gora Airport,EGH,31.068559,34.129629,0
Luxor,Luxor International Airport,LXR,25.671,32.7066,0
Mersa-matruh,Mersa Matruh Airport,MUH,31.3253993988,27.2217006683,0
Port Said,Port Said Airport,PSD,31.27939987182617,32.2400016784668,1
St. Catherine,St Catherine International Airport,SKV,28.685300827,34.0625,0
Aswan,Aswan International Airport,ASW,23.9643993378,32.8199996948,0
El-tor,El Tor Airport,ELT,28.208999633789062,33.64550018310547,0
Eldoret,Eldoret International Airport,EDL,0.4044579863548279,35.23889923095703,1
Kakamega,Kakamega Airport,GGM,0.271342009306,34.7873001099,1
Kisumu,Kisumu Airport,KIS,-0.0861390009522438,34.72890090942383,0
Kitale,Kitale Airport,KTL,0.9719889760017396,34.95859909057617,1
Lodwar,Lodwar Airport,LOK,3.1219699382781982,35.608699798583984,1
Lamu,Manda Airstrip,LAU,-2.252419948577881,40.91310119628906,1
Mombasa,Mombasa Moi International Airport,MBA,-4.034830093383789,39.594200134277344,0
Naivasha,Naivasha Airport,\N,-0.787953,36.433494,1
Nairobi,Nairobi Wilson Airport,WIL,-1.321720004081726,36.81480026245117,0
Nairobi,Moi Air Base,\N,-1.27726995945,36.8623008728,0
Wajir,Wajir Airport,WJR,1.73324,40.091599,1
Buattifel,Bu Attifel Airport,\N,28.79540061950684,22.080900192260746,0
Giallo,Warehouse 59e Airport,\N,28.638500213623047,21.4379997253418,1
Ghat,Ghat Airport,GHT,25.1455993652,10.1426000595,0
Kufra,Kufra Airport,AKF,24.178699493408203,23.31399917602539,1
Benghazi,Benina International Airport,BEN,32.096801757799994,20.2695007324,0
Sebha,Sabha Airport,SEB,26.98699951171875,14.47249984741211,0
Tripoli,Tripoli International Airport,TIP,32.6635017395,13.1590003967,0
Marsa Brega,Marsa Brega Airport,LMQ,30.37809944152832,19.576400756835938,1
Ras Lanouf V 40,Ras Lanuf Oil Airport,\N,30.5,18.52720069885254,0
Hon,Hon Airport,HUQ,29.11009979248047,15.96560001373291,1
Dahra,Dahra Airport,\N,29.47260093688965,17.934900283813477,1
Ghadames,Ghadames East Airport,LTD,30.15169906616211,9.715310096740724,0
Zella 74,Zella 74 Airport,\N,28.58989906311035,17.293899536132812,0
Gisenyi,Gisenyi Airport,GYI,-1.6771999597549438,29.258899688720703,0
Kigali,Kigali International Airport,KGL,-1.96863,30.1395,1
Kamembe,Kamembe Airport,KME,-2.462239980697632,28.907899856567383,1
Dongola,Dongola Airport,DOG,19.1539001465,30.4300994873,0
Damazin,Damazin Airport,RSS,11.7859,34.3367,1
El Fasher,El Fasher Airport,ELF,13.61489963531494,25.32460021972656,1
Kassala,Kassala Airport,KSL,15.387499809265137,36.328800201416016,0
Kadugli,Kadugli Airport,KDX,11.137999534600002,29.7010993958,0
El Obeid,El Obeid Airport,EBD,13.153200149536133,30.23270034790039,1
Juba,Juba International Airport,JUB,4.87201023102,31.6011009216,0
Malakal,Malakal Airport,MAK,9.55897045135498,31.65220069885254,1
